loan_id,origination_date,state,credit_tier,loan_amount,system_size_kw,loan_term_months,interest_rate,monthly_payment,installer_partner,cents_per_watt_of_solar_electricity,cents_per_watt_of_utility_electricity,is_delinquent,days_past_due
L0001,2024-01-18,NY,A,25998,8.6,300,4.67,147.08,"BrightPath Solar",12.81,20.71,FALSE,0
L0002,2024-03-26,FL,A,30159,8.8,240,3.37,172.83,"Apex Solar Co",10.9,13.5,FALSE,0
L0003,2024-03-26,NC,B,19445,5.3,240,7.67,158.7,"SunPro Electric",11.68,15.82,FALSE,0
L0004,2024-02-11,FL,A,21029,6,300,4.18,113.11,"BrightPath Solar",9.45,13.29,FALSE,0
L0005,2024-03-26,FL,B,27872,8.2,240,7.83,230.12,"TerraWatt Installations",9.49,12.71,FALSE,0
L0006,2024-01-27,FL,A,31500,9.9,240,4.37,197.07,"BrightPath Solar",8.38,14.12,FALSE,0
L0007,2024-02-08,CA,B,15417,4.2,300,7.56,114.52,"GreenRoof Energy",11.7,26.24,FALSE,0
L0008,2024-03-27,CA,A,28368,10.9,240,4.96,186.53,"GreenRoof Energy",9.18,24.02,FALSE,0
L0009,2024-01-16,CA,A,58081,14.5,300,4.76,331.3,"BrightPath Solar",8.9,27.25,FALSE,0
L0010,2024-01-08,NY,B,43275,10.5,240,7.15,339.39,"GreenRoof Energy",15.99,21.12,FALSE,0
L0011,2024-01-11,CA,A,35643,9.5,240,5.6,247.28,"GreenRoof Energy",12.61,23.79,FALSE,0
L0012,2024-03-21,CA,A,29847,11.3,300,4.97,174.03,"SunPro Electric",8.24,24.74,FALSE,0
L0013,2024-03-02,FL,B,34911,8.9,300,6.87,243.87,"BrightPath Solar",9.36,13.78,FALSE,0
L0014,2024-03-27,MA,B,25897,8.4,240,8.28,221.07,"SunPro Electric",13.83,23.63,FALSE,0
L0015,2024-03-02,AZ,B,16720,4.5,300,8.94,139.6,"GreenRoof Energy",8.68,11.48,FALSE,0
L0016,2024-02-01,CA,A,14547,4,240,4.74,93.9,"SunPro Electric",8.67,23.42,FALSE,0
L0017,2024-02-06,CO,A,33635,11.4,240,6.1,242.9,"SunPro Electric",8.59,14.36,FALSE,0
L0018,2024-03-16,CO,B,27053,8.1,240,5.95,193.07,"GreenRoof Energy",12.39,14.69,FALSE,0
L0019,2024-01-11,FL,B,29064,9.5,180,8.48,285.93,"TerraWatt Installations",12.33,14.38,TRUE,68
L0020,2024-02-20,CT,B,36009,10,240,7.87,298.23,"SunPro Electric",15.6,20.3,FALSE,0
L0021,2024-03-24,FL,A,36187,9.4,240,5.08,240.47,"TerraWatt Installations",9.15,13.78,FALSE,0
L0022,2024-02-28,TX,A,26619,8,180,4.98,210.17,"SunPro Electric",10.93,10.98,FALSE,0
L0023,2024-03-19,MA,A,27392,9.2,240,6.32,201.29,"GreenRoof Energy",15.24,19,FALSE,0
L0024,2024-01-04,CT,A,34613,9.9,300,5.46,211.65,"Apex Solar Co",12.81,20.39,FALSE,0
L0025,2024-03-17,CA,A,28802,7.8,120,5.19,308.13,"SunPro Electric",9.29,21.49,FALSE,0
L0026,2024-01-26,NJ,B,43603,13.5,240,9.95,419.46,"GreenRoof Energy",13.83,16.42,FALSE,0
L0027,2024-02-26,MA,B,22474,7.4,180,7.69,210.77,"TerraWatt Installations",17.25,22.59,FALSE,0
L0028,2024-03-19,FL,A,33512,10,240,4.52,212.38,"BrightPath Solar",9.32,14.49,FALSE,0
L0029,2024-03-05,AZ,A,51096,14.4,180,6.2,436.6,"Apex Solar Co",8.28,13.33,FALSE,0
L0030,2024-01-06,TX,A,30914,9.5,240,4.39,193.7,"TerraWatt Installations",7.87,11.13,FALSE,0
L0031,2024-03-08,CA,C,39935,11,180,9.5,416.94,"TerraWatt Installations",14.81,23.92,FALSE,0
L0032,2024-01-20,CA,A,19465,6.6,240,6.7,147.44,"GreenRoof Energy",10.93,22.57,FALSE,0
L0033,2024-02-05,FL,A,37126,11.9,240,5.49,255.08,"SunPro Electric",10.91,10.76,FALSE,0
L0034,2024-03-09,NJ,A,39189,10,300,5.9,250.03,"SunPro Electric",16.59,15.76,FALSE,0
L0035,2024-01-12,AZ,B,32313,8.7,240,7.54,261.2,"SunPro Electric",7.23,12.84,FALSE,0
L0036,2024-01-20,TX,B,33810,9.4,180,7.31,309.72,"TerraWatt Installations",8.55,15.54,FALSE,0
L0037,2024-01-11,NY,A,15659,4.8,240,4.34,97.71,"GreenRoof Energy",17.19,22.63,FALSE,0
L0038,2024-01-09,FL,B,32242,9.6,300,7.15,230.89,"GreenRoof Energy",11.67,11.92,FALSE,0
L0039,2024-02-15,NJ,A,45975,11.9,240,5.19,308.21,"BrightPath Solar",12.87,19.89,FALSE,0
L0040,2024-03-18,NJ,B,20737,7.5,180,8.34,202.26,"GreenRoof Energy",16.94,13.79,FALSE,0
L0041,2024-03-29,AZ,B,32984,11.2,180,7.58,307.23,"BrightPath Solar",9.66,13.72,FALSE,0
L0042,2024-02-01,CA,A,27119,7.3,240,3.87,162.5,"Apex Solar Co",14.01,21.4,FALSE,0
L0043,2024-03-01,CA,A,27876,6.3,120,5.01,295.83,"TerraWatt Installations",11.87,26.69,FALSE,0
L0044,2024-02-06,NY,B,30791,9.5,300,5.59,190.77,"GreenRoof Energy",15,18.73,FALSE,0
L0045,2024-01-01,CT,A,40939,10.8,300,5.68,255.85,"SunPro Electric",10.85,22.74,FALSE,0
L0046,2024-03-17,NY,B,53418,12.5,240,6.15,387.42,"TerraWatt Installations",12.01,17.41,FALSE,0
L0047,2024-02-18,CT,A,36317,11,240,4.46,228.88,"BrightPath Solar",13.55,23.12,FALSE,0
L0048,2024-03-22,NJ,A,25732,6.8,240,5.9,182.84,"GreenRoof Energy",10.16,20.71,FALSE,0
L0049,2024-02-01,AZ,A,29350,8.3,240,6.26,214.75,"Apex Solar Co",10.94,11.81,FALSE,0
L0050,2024-02-14,AZ,A,24208,8,180,4.51,185.29,"SunPro Electric",9.94,13.08,FALSE,0
L0051,2024-02-03,NC,A,28030,9.4,300,5.11,165.74,"Apex Solar Co",10.66,10.5,FALSE,0
L0052,2024-01-12,CT,B,29215,7.6,300,6.03,188.77,"Apex Solar Co",12.77,18.62,FALSE,0
L0053,2024-01-26,NY,A,29331,8.1,180,4.79,228.72,"Apex Solar Co",8.07,19.43,FALSE,0
L0054,2024-02-26,FL,A,38692,9.6,300,5.79,244.33,"GreenRoof Energy",10.8,11.06,FALSE,0
L0055,2024-02-18,CA,B,17867,5.4,300,8.39,142.55,"BrightPath Solar",10.72,28.3,FALSE,0
L0056,2024-03-14,CA,A,44446,10.9,300,4.39,244.32,"BrightPath Solar",10.79,23.64,FALSE,0
L0057,2024-03-19,TX,A,35472,11.3,240,6.35,261.25,"SunPro Electric",12.04,12.81,FALSE,0
L0058,2024-02-07,CA,A,34925,8.8,180,6.31,300.6,"SunPro Electric",10.63,24.1,FALSE,0
L0059,2024-03-08,CT,A,14922,4.4,300,6.34,99.28,"TerraWatt Installations",11.74,22.53,FALSE,0
L0060,2024-01-03,CT,A,17304,6.5,240,3.36,99.11,"BrightPath Solar",10.82,22.19,FALSE,0
L0061,2024-01-04,CO,B,23067,8.3,300,8.37,183.8,"TerraWatt Installations",7.67,11.32,TRUE,37
L0062,2024-02-25,CA,A,23496,7.7,240,4.98,154.84,"TerraWatt Installations",12.85,24,FALSE,0
L0063,2024-01-03,TX,B,30625,10,240,7.23,241.66,"SunPro Electric",12.14,11.06,FALSE,0
L0064,2024-02-02,CO,A,49201,11.8,300,5.06,289.23,"TerraWatt Installations",12.55,16.88,TRUE,156
L0065,2024-03-29,NY,B,40190,11.3,240,6.02,288.31,"BrightPath Solar",13.07,21.47,FALSE,0
L0066,2024-03-31,NJ,B,27516,8.3,180,8.25,266.89,"TerraWatt Installations",11.56,13.26,TRUE,34
L0067,2024-03-26,AZ,B,22021,7,300,7.06,156.42,"BrightPath Solar",12.75,14.89,FALSE,0
L0068,2024-01-22,FL,A,25813,6.8,180,4.31,195.01,"SunPro Electric",9.08,15.43,FALSE,0
L0069,2024-03-13,FL,A,17611,6,180,4.92,138.56,"SunPro Electric",10.19,9.57,TRUE,45
L0070,2024-03-03,NC,A,23409,6.3,300,6.23,154.17,"TerraWatt Installations",9.21,7.88,FALSE,0
L0071,2024-02-08,CA,B,32425,8.6,240,8.76,286.79,"BrightPath Solar",11.66,24.25,FALSE,0
L0072,2024-02-18,NY,B,32756,8.2,240,6.82,250.48,"Apex Solar Co",15.62,18.6,FALSE,0
L0073,2024-02-02,CA,A,28617,9.3,180,4.51,219.13,"Apex Solar Co",10.56,25.36,FALSE,0
L0074,2024-02-09,TX,A,22215,6.5,240,5.33,150.72,"Apex Solar Co",9.57,10.97,FALSE,0
L0075,2024-01-21,NY,A,23829,6.4,240,4.82,154.92,"TerraWatt Installations",12.18,19.83,FALSE,0
L0076,2024-01-02,TX,A,48927,13.4,240,4.7,314.95,"TerraWatt Installations",12.16,13.42,FALSE,0
L0077,2024-01-27,CA,A,51525,11.2,300,4.11,275.12,"GreenRoof Energy",9.81,29.31,FALSE,0
L0078,2024-03-15,FL,A,44471,11.9,240,5.13,296.75,"GreenRoof Energy",11.65,14.97,FALSE,0
L0079,2024-01-06,CA,A,26716,8.6,180,5.04,211.86,"GreenRoof Energy",8.55,25.87,FALSE,0
L0080,2024-01-06,CO,B,22564,6.1,240,7.23,178.09,"SunPro Electric",9.79,13.06,FALSE,0
L0081,2024-03-10,CA,B,20734,7.1,240,8.28,177.02,"Apex Solar Co",8.63,25.15,FALSE,0
L0082,2024-03-14,CO,A,25321,6.3,180,5.7,209.54,"TerraWatt Installations",12.11,11.61,FALSE,0
L0083,2024-02-16,NY,A,34262,9.7,300,5.05,201.24,"BrightPath Solar",13.4,21.28,FALSE,0
L0084,2024-03-26,NY,A,29194,9,180,5.6,240.05,"TerraWatt Installations",15.32,21.81,FALSE,0
L0085,2024-03-27,CT,B,42242,10.1,180,8.28,410.54,"Apex Solar Co",15.32,19.06,FALSE,0
L0086,2024-01-22,TX,A,23928,6.6,180,5.81,199.45,"GreenRoof Energy",9.56,10.35,FALSE,0
L0087,2024-01-05,NC,A,39241,11,240,4.7,252.59,"TerraWatt Installations",8.23,13.79,FALSE,0
L0088,2024-01-21,CA,A,27897,11.2,300,4.51,155.24,"SunPro Electric",13.53,27.37,FALSE,0
L0089,2024-02-09,CT,B,45514,11.7,240,8.09,383.36,"Apex Solar Co",14.63,21.97,FALSE,0
L0090,2024-01-14,TX,A,46066,11,300,4.51,256.41,"GreenRoof Energy",7,10.89,FALSE,0
L0091,2024-01-27,TX,A,43360,10.5,240,4.94,284.67,"TerraWatt Installations",7.76,14.55,FALSE,0
